ModuleLicenseId|ModuleId|LicenseId|IsActive|DateCreated|DateUpdated|UserId|UpdatedUserId|ModuleType
132|4096|30|False|2019-05-04 10:06:06.413000000|2020-06-16 22:27:00.283000000|266|539|2
133|113|27|False|2019-05-04 12:02:03.437000000|2019-10-21 22:40:35.517000000|266|296|1
134|113|31|True|2019-05-04 15:20:52.663000000||0||1
135|113|32|True|2019-05-04 15:21:02.037000000||0||1
136|113|33|True|2019-05-04 15:21:06.300000000||263||1
137|113|34|False|2019-05-04 15:25:01.743000000|2020-08-22 13:49:08.513000000|0|289|1
138|0|34|False|2019-05-04 15:25:01.747000000|2020-08-22 13:49:08.513000000|0|289|2
139|113|35|True|2019-05-04 15:25:06.523000000||263||1
140|0|35|True|2019-05-04 15:25:06.527000000||263||2
141|115|15|False|2019-05-04 16:31:07.983000000|2020-04-14 18:46:08.083000000|263|539|1
142|4096|15|False|2019-05-04 16:31:07.983000000|2020-04-14 18:46:08.083000000|263|539|2
143|65536|15|False|2019-05-04 16:31:07.987000000|2020-04-14 18:46:08.083000000|263|539|3
144|113|30|False|2019-05-04 18:45:01.630000000|2020-06-16 22:27:00.283000000|289|539|1
145|4096|30|False|2019-05-04 18:45:01.630000000|2020-06-16 22:27:00.283000000|289|539|2
146|113|36|False|2019-05-04 18:47:07.803000000|2019-10-09 17:51:51.257000000|275|279|1
147|115|37|False|2019-05-04 18:57:07.860000000|2019-08-09 11:13:29.287000000|0|265|1
148|4|37|False|2019-05-04 18:57:07.860000000|2019-08-09 11:13:29.287000000|0|265|2
149|115|38|True|2019-05-04 18:57:10.157000000||263||1
150|4|38|True|2019-05-04 18:57:10.157000000||263||2
151|113|30|False|2019-05-04 19:01:06.150000000|2020-06-16 22:27:00.283000000|0|539|1
152|4096|30|False|2019-05-04 19:01:06.150000000|2020-06-16 22:27:00.283000000|0|539|2
153|113|30|False|2019-05-04 19:15:02.333000000|2020-06-16 22:27:00.283000000|289|539|1
154|4096|30|False|2019-05-04 19:15:02.333000000|2020-06-16 22:27:00.283000000|289|539|2
155|113|30|False|2019-05-04 19:33:53.553000000|2020-06-16 22:27:00.283000000|0|539|1
156|4096|30|False|2019-05-04 19:33:53.553000000|2020-06-16 22:27:00.283000000|0|539|2
157|113|30|False|2019-05-04 19:41:30.830000000|2020-06-16 22:27:00.283000000|0|539|1
158|4096|30|False|2019-05-04 19:41:30.830000000|2020-06-16 22:27:00.283000000|0|539|2
159|115|37|False|2019-05-04 20:14:58.823000000|2019-08-09 11:13:29.287000000|263|265|1
160|4|37|False|2019-05-04 20:14:58.833000000|2019-08-09 11:13:29.287000000|263|265|2
